Id,code_module_x,code_presentation_x_x,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,final_result,score,code_module_y,code_presentation_y_y
106,AAA,2014J,M,South East Region,HE Qualification,90-100%,35-55,1,60,Withdrawn,86,AAA,2014J
107,AAA,2014J,M,South East Region,HE Qualification,90-100%,35-55,1,60,Withdrawn,86,AAA,2013J
108,AAA,2014J,M,South East Region,HE Qualification,90-100%,35-55,1,60,Withdrawn,86,AAA,2014J
109,AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,Withdrawn,85,AAA,2013J
110,AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,Withdrawn,85,AAA,2014J
111,AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,Withdrawn,82,AAA,2013J
112,AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,Withdrawn,82,AAA,2014J
113,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,Withdrawn,66,AAA,2013J
114,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,Withdrawn,66,AAA,2014J
115,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,60,Pass,66,AAA,2013J
116,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,60,Pass,66,AAA,2014J
117,AAA,2013J,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,Withdrawn,68,AAA,2013J
118,AAA,2013J,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,Withdrawn,68,AAA,2014J
119,AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,Withdrawn,65,AAA,2013J
120,AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,Withdrawn,65,AAA,2014J
121,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,Withdrawn,78,AAA,2013J
122,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,Withdrawn,78,AAA,2014J
123,AAA,2014J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,1,120,Pass,78,AAA,2013J
124,AAA,2014J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,1,120,Pass,78,AAA,2014J
125,AAA,2013J,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Withdrawn,30,AAA,2013J
126,AAA,2013J,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Withdrawn,30,AAA,2014J
127,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,Withdrawn,60,AAA,2013J
128,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,Withdrawn,60,AAA,2014J
129,AAA,2014J,F,London Region,Lower Than A Level,30-40%,35-55,1,60,Fail,60,AAA,2013J
130,AAA,2014J,F,London Region,Lower Than A Level,30-40%,35-55,1,60,Fail,60,AAA,2014J
131,AAA,2013J,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,Withdrawn,65,AAA,2013J
132,AAA,2013J,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,Withdrawn,65,AAA,2014J
133,AAA,2014J,M,London Region,A Level or Equivalent,50-60%,35-55,1,60,Pass,65,AAA,2013J
134,AAA,2014J,M,London Region,A Level or Equivalent,50-60%,35-55,1,60,Pass,65,AAA,2014J
135,AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,Withdrawn,71,AAA,2013J
136,AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,Withdrawn,71,AAA,2014J
137,AAA,2013J,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,Withdrawn,11,AAA,2013J
138,AAA,2013J,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,Withdrawn,11,AAA,2014J
139,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,Withdrawn,68,AAA,2013J
140,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,Withdrawn,68,AAA,2014J
141,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,Pass,68,AAA,2013J
142,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,Pass,68,AAA,2014J
143,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,Withdrawn,75,AAA,2013J
144,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,Withdrawn,75,AAA,2014J
145,AAA,2013J,M,Scotland,HE Qualification,20-30%,0-35,0,120,Withdrawn,77,AAA,2013J
146,AAA,2013J,M,Scotland,HE Qualification,20-30%,0-35,0,120,Withdrawn,77,AAA,2014J
147,AAA,2013J,M,London Region,A Level or Equivalent,Oct-20,35-55,0,120,Withdrawn,51,AAA,2013J
148,AAA,2013J,M,London Region,A Level or Equivalent,Oct-20,35-55,0,120,Withdrawn,51,AAA,2014J
149,AAA,2014J,M,London Region,A Level or Equivalent,Oct-20,35-55,1,60,Fail,51,AAA,2013J
150,AAA,2014J,M,London Region,A Level or Equivalent,Oct-20,35-55,1,60,Fail,51,AAA,2014J
151,AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,120,Withdrawn,62,AAA,2013J
152,AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,120,Withdrawn,62,AAA,2014J
153,AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,Withdrawn,64,AAA,2013J
154,AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,Withdrawn,64,AAA,2014J
155,AAA,2014J,M,North Western Region,A Level or Equivalent,70-80%,35-55,1,60,Fail,64,AAA,2013J
156,AAA,2014J,M,North Western Region,A Level or Equivalent,70-80%,35-55,1,60,Fail,64,AAA,2014J
157,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,Withdrawn,68,AAA,2013J
158,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,Withdrawn,68,AAA,2014J
159,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,Fail,68,AAA,2013J
160,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,Fail,68,AAA,2014J
161,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,Withdrawn,66,AAA,2013J
162,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,Withdrawn,66,AAA,2014J
163,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Withdrawn,82,AAA,2013J
164,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Withdrawn,82,AAA,2014J
165,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Withdrawn,82,AAA,2013J
166,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Withdrawn,82,AAA,2014J
167,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,Withdrawn,82,AAA,2013J
168,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,Withdrawn,82,AAA,2014J
169,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,Withdrawn,82,AAA,2013J
170,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,Withdrawn,82,AAA,2014J
171,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Withdrawn,51,AAA,2013J
172,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Withdrawn,51,AAA,2014J
173,AAA,2014J,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,Pass,51,AAA,2013J
174,AAA,2014J,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,Pass,51,AAA,2014J
175,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Withdrawn,70,AAA,2013J
176,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Withdrawn,70,AAA,2014J
177,AAA,2014J,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Pass,70,AAA,2013J
178,AAA,2014J,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Pass,70,AAA,2014J
179,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,Withdrawn,75,AAA,2013J
180,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,Withdrawn,75,AAA,2014J
181,AAA,2014J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,Pass,75,AAA,2013J
182,AAA,2014J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,Pass,75,AAA,2014J
183,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,Withdrawn,68,AAA,2013J
184,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,Withdrawn,68,AAA,2014J
185,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,Withdrawn,68,AAA,2013J
186,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,Withdrawn,68,AAA,2014J
187,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,Withdrawn,68,AAA,2013J
188,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,Withdrawn,68,AAA,2014J
189,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,Withdrawn,68,AAA,2013J
190,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,Withdrawn,68,AAA,2014J
191,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,Withdrawn,70,AAA,2013J
192,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,Withdrawn,70,AAA,2014J
193,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,Withdrawn,60,AAA,2013J
194,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,Withdrawn,60,AAA,2014J
195,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,Withdrawn,60,AAA,2013J
196,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,Withdrawn,60,AAA,2014J
197,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,Withdrawn,60,AAA,2013J
198,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,Withdrawn,60,AAA,2014J
199,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,Withdrawn,60,AAA,2013J
200,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,Withdrawn,60,AAA,2014J
201,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Withdrawn,65,AAA,2013J
202,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Withdrawn,65,AAA,2014J
203,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Withdrawn,65,AAA,2013J
204,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Withdrawn,65,AAA,2014J
205,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,Withdrawn,65,AAA,2013J
206,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,Withdrawn,65,AAA,2014J
207,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,Withdrawn,65,AAA,2013J
208,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,Withdrawn,65,AAA,2014J
209,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,Withdrawn,87,AAA,2013J
210,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,Withdrawn,87,AAA,2014J
211,AAA,2014J,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,Pass,87,AAA,2013J
212,AAA,2014J,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,Pass,87,AAA,2014J
213,AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,Withdrawn,80,AAA,2013J
214,AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,Withdrawn,80,AAA,2014J
215,AAA,2014J,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,Pass,80,AAA,2013J
216,AAA,2014J,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,Pass,80,AAA,2014J
217,AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,Withdrawn,52,AAA,2013J
218,AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,Withdrawn,52,AAA,2014J
219,AAA,2014J,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,Fail,52,AAA,2013J
220,AAA,2014J,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,Fail,52,AAA,2014J
221,AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,Withdrawn,42,AAA,2013J
222,AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,Withdrawn,42,AAA,2014J
223,AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,Withdrawn,78,AAA,2013J
224,AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,Withdrawn,78,AAA,2014J
225,AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,Withdrawn,62,AAA,2013J
226,AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,Withdrawn,62,AAA,2014J
227,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,Withdrawn,65,AAA,2013J
228,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,Withdrawn,65,AAA,2014J
229,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,60,Pass,65,AAA,2013J
230,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,60,Pass,65,AAA,2014J
231,AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,Withdrawn,57,AAA,2013J
232,AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,Withdrawn,57,AAA,2014J
233,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,Withdrawn,90,AAA,2013J
234,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,Withdrawn,90,AAA,2014J
235,AAA,2014J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,1,120,Pass,90,AAA,2013J
236,AAA,2014J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,1,120,Pass,90,AAA,2014J
237,AAA,2013J,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Withdrawn,40,AAA,2013J
238,AAA,2013J,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Withdrawn,40,AAA,2014J
239,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,Withdrawn,53,AAA,2013J
240,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,Withdrawn,53,AAA,2014J
241,AAA,2014J,F,London Region,Lower Than A Level,30-40%,35-55,1,60,Fail,53,AAA,2013J
242,AAA,2014J,F,London Region,Lower Than A Level,30-40%,35-55,1,60,Fail,53,AAA,2014J
243,AAA,2013J,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,Withdrawn,62,AAA,2013J
244,AAA,2013J,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,Withdrawn,62,AAA,2014J
